Epoch,Train_Loss,Val_Loss,Train_RMSE,Val_RMSE,Train_R2,Val_R2,Train_MAE,Val_MAE
1,1.9351639920305983,1.5181511949609827,1.3912846,1.2315558,0.17505258321762085,0.34112483263015747,1.0778099298477173,0.9258049130439758
2,1.3911639758359606,1.3097529102254797,1.1800821,1.1450399,0.40650272369384766,0.43044430017471313,0.8940747380256653,0.8801232576370239
3,1.1160603224117065,1.1023229117746707,1.0564561,1.0509394,0.5243393182754517,0.5202109217643738,0.7911474704742432,0.772449791431427
4,0.9591162097509777,1.0357200635804071,0.9794745,1.0184923,0.5911343097686768,0.5493800044059753,0.7299472689628601,0.7522234320640564
5,0.8691212512622369,1.0216625641893458,0.93153393,1.0117581,0.6301788091659546,0.5553193092346191,0.6910362243652344,0.7270106077194214
6,0.7834623068849617,0.937465610327544,0.8851335,0.9693686,0.6661034822463989,0.5918002128601074,0.6507008671760559,0.7013981342315674
7,0.7268665611186874,0.9320767323176066,0.8527732,0.9668097,0.6900715827941895,0.5939524173736572,0.6247943043708801,0.692486584186554
8,0.6878436699370357,0.8983615747204533,0.8292259,0.94918406,0.7069511413574219,0.6086225509643555,0.6042003035545349,0.6900046467781067
9,0.6507013589143753,0.8796261460692795,0.8068676,0.93912727,0.7225408554077148,0.6168720722198486,0.5864856839179993,0.6703723073005676
10,0.6201923219400032,0.8501665172753511,0.78779197,0.9232951,0.7355049848556519,0.6296809911727905,0.5695120096206665,0.6635687947273254
11,0.5909010311153448,0.8541785522743508,0.7689071,0.92519486,0.748033881187439,0.6281554698944092,0.5577300190925598,0.6617506742477417
12,0.5740379230162808,0.8666414883401659,0.75728405,0.9321673,0.7555938959121704,0.6225297451019287,0.5442155003547668,0.6513717770576477
13,0.5524058691530584,0.848758927098027,0.7433158,0.9226539,0.7645270228385925,0.630195140838623,0.5343047380447388,0.6513561010360718
14,0.5285990792457188,0.8299133976300558,0.7265417,0.9125831,0.7750347256660461,0.6382239460945129,0.521148681640625,0.6488984823226929
15,0.5212164044937241,0.847474870858369,0.721575,0.9216864,0.7780999541282654,0.630970299243927,0.5170935988426208,0.6490236520767212
16,0.4978019918236777,0.845181836022271,0.70572805,0.92052424,0.7877395153045654,0.6319003105163574,0.506499707698822,0.640426754951477
17,0.48398959455646084,0.8269127033374928,0.6958845,0.91043514,0.7936195135116577,0.6399250030517578,0.4979192912578583,0.6455805897712708
18,0.4801802083710644,0.8354845643043518,0.692711,0.91555256,0.7954975366592407,0.6358658075332642,0.49299708008766174,0.6325585842132568
19,0.46221609740892305,0.8335835624624182,0.6800824,0.9145154,0.8028860092163086,0.6366902589797974,0.4835721254348755,0.6280431747436523
20,0.44787881516407585,0.8079698549376594,0.66905135,0.9007538,0.8092285990715027,0.6475421786308289,0.4764126241207123,0.6262255907058716
21,0.43847728597226543,0.8397995697127448,0.6617574,0.9178358,0.8133654594421387,0.6340473294258118,0.47012731432914734,0.6329829096794128
22,0.4333684501525398,0.8281794411164743,0.658536,0.9118915,0.8151780962944031,0.6387721300125122,0.46943986415863037,0.6315234303474426
23,0.418811888059723,0.8132248476699546,0.6471778,0.903122,0.8214986324310303,0.6456863880157471,0.4575241208076477,0.6208314895629883
24,0.4109382793725094,0.8442779624903644,0.6406853,0.92049545,0.825062096118927,0.6319233179092407,0.45339444279670715,0.6281923651695251
25,0.4002715344323176,0.8326837597069917,0.632611,0.9141591,0.8294436931610107,0.6369732618331909,0.44734615087509155,0.6223916411399841
26,0.38928441933103813,0.8222262108767474,0.62413925,0.90835416,0.8339811563491821,0.6415691375732422,0.44023367762565613,0.6223273277282715
27,0.38171719975560625,0.8167171014679803,0.61740166,0.90532225,0.837546169757843,0.6439578533172607,0.43475544452667236,0.6148849725723267
28,0.3736941984323698,0.8136199602374324,0.61175185,0.9033976,0.8405057787895203,0.645470142364502,0.43120718002319336,0.6212394833564758
29,0.3651954764239142,0.8133950961960686,0.6044074,0.9031281,0.8443124294281006,0.645681619644165,0.4251061677932739,0.6142685413360596
30,0.35984102100412424,0.7983663391183924,0.59855723,0.895222,0.8473117351531982,0.6518579721450806,0.4203236401081085,0.612615168094635
31,0.35802366236381444,0.8156965264567623,0.5982151,0.90463513,0.8474861979484558,0.6444981694221497,0.421049565076828,0.6219604015350342
32,0.34899396240432684,0.8008656214784693,0.59056395,0.8964991,0.8513625860214233,0.6508639454841614,0.413967102766037,0.611309826374054
33,0.34158622724152055,0.7835981912083096,0.58352304,0.8865934,0.8548856377601624,0.6585367918014526,0.4103648066520691,0.606938898563385
34,0.33181974424101485,0.7772902581426833,0.57617956,0.8833627,0.8585151433944702,0.6610207557678223,0.4031097888946533,0.5989474654197693
35,0.32813912407260076,0.7961027092403836,0.5730488,0.893778,0.8600485324859619,0.6529802083969116,0.40108630061149597,0.6029801964759827
36,0.31759317713641677,0.7955849457670141,0.5634346,0.8938566,0.8647050857543945,0.6529191732406616,0.39268216490745544,0.6095023155212402
37,0.31136748619447246,0.7831391250645673,0.55772954,0.8872261,0.867431104183197,0.6580492258071899,0.3893204927444458,0.6045899391174316
38,0.30446831088199794,0.8069511674068592,0.5514541,0.9001206,0.8703975677490234,0.6480375528335571,0.3851076066493988,0.6063053011894226
39,0.3050105845398992,0.7909651884326229,0.5518808,0.8914358,0.8701969385147095,0.6547965407371521,0.3848648965358734,0.6025218963623047
40,0.2956440913900037,0.8296834649863066,0.5435625,0.9128318,0.8740804195404053,0.638026773929596,0.3780878782272339,0.6146534085273743
41,0.29010318299738047,0.7977452057379263,0.5385156,0.89472765,0.87640780210495,0.6522423624992371,0.3748789429664612,0.6034671664237976
42,0.28561785768404185,0.7997035328988675,0.53439564,0.89651626,0.8782917261123657,0.6508505344390869,0.37256327271461487,0.602630615234375
43,0.2837523120307477,0.8097370730506049,0.5323142,0.9019429,0.879237949848175,0.6466109752655029,0.3691309690475464,0.6212654709815979
44,0.278388214236665,0.7817525951950638,0.52613384,0.8858003,0.8820258975028992,0.6591473817825317,0.36615511775016785,0.5954030156135559
45,0.2721512353169584,0.7877278835685165,0.5217134,0.8889547,0.8839999437332153,0.6567155122756958,0.3625529110431671,0.5999147295951843
46,0.2646788965179541,0.7955383238969026,0.51446056,0.8929031,0.8872027397155762,0.6536592245101929,0.3550664186477661,0.6055572032928467
47,0.2646291587397317,0.7801565329233805,0.5146735,0.885137,0.8871093392372131,0.6596577167510986,0.35516950488090515,0.5987735390663147
48,0.2616965504728745,0.7866580839510318,0.51138556,0.8890955,0.8885471224784851,0.6566067337989807,0.35183969140052795,0.5915763974189758
49,0.24884058099901565,0.7782012820243835,0.49869218,0.8840254,0.8940113186836243,0.6605119705200195,0.3448087275028229,0.5963799357414246
50,0.24799341144405793,0.7886537578370836,0.49810117,0.8896301,0.8942623734474182,0.6561936140060425,0.34393027424812317,0.5981106162071228
51,0.24075218018527342,0.8039836442029035,0.49069616,0.8986154,0.897382915019989,0.6492136716842651,0.33792388439178467,0.604442298412323
52,0.24195108277218363,0.7979454663064744,0.49107295,0.8951389,0.8972252607345581,0.6519225835800171,0.33968764543533325,0.5986732244491577
53,0.2355480256412074,0.7899324695269266,0.48518136,0.8906984,0.899676501750946,0.6553674936294556,0.33398258686065674,0.5921028256416321
54,0.2341382509776365,0.7898084742051584,0.48388422,0.8905619,0.9002122282981873,0.6554731130599976,0.33169201016426086,0.5990543961524963
