Epoch,Train_Loss,Val_Loss,Train_RMSE,Val_RMSE,Train_R2,Val_R2,Train_MAE,Val_MAE
1,1.8515876927108408,1.7333017852571275,1.3603077,1.3177671,0.19747990369796753,0.2910618185997009,1.0486290454864502,0.9913203716278076
2,1.4466244102081405,1.3952524176350347,1.2024312,1.1824225,0.3729502558708191,0.42920994758605957,0.9165415167808533,0.8960167169570923
3,1.1928797199904362,1.2801808648639255,1.0923965,1.1323652,0.4824621081352234,0.4765152931213379,0.8254141211509705,0.8592407703399658
4,1.0281700213378835,1.2155748296667028,1.0141953,1.1038028,0.5539076328277588,0.5025906562805176,0.7607517838478088,0.8134241700172424
5,0.9094279219056959,1.103237352989338,0.95358217,1.0515431,0.6056354641914368,0.5485755205154419,0.7132503390312195,0.7722206711769104
6,0.8288540622898352,1.1020327872700162,0.9106043,1.0512711,0.6403824090957642,0.5488090515136719,0.6762791872024536,0.7641476988792419
7,0.7658636709239995,1.0124417896623965,0.87536234,1.0076293,0.6676794290542603,0.5854923725128174,0.6493034958839417,0.7365116477012634
8,0.707012485817214,0.9826816254191928,0.84100085,0.9924031,0.6932571530342102,0.5979248881340027,0.6207372546195984,0.726004421710968
9,0.6562867172967608,0.9383807447221544,0.8106413,0.96973515,0.7150038480758667,0.6160830855369568,0.5958185791969299,0.6922167539596558
10,0.6181973823320086,0.9194083831928395,0.7858156,0.9596896,0.7321923971176147,0.6239959001541138,0.5726878046989441,0.6994688510894775
11,0.5906527124554197,0.939015081635228,0.768008,0.9699669,0.7441926002502441,0.6158995628356934,0.5585212111473083,0.6993579864501953
12,0.5701592372399624,0.9488664136992561,0.7547753,0.9755227,0.7529317736625671,0.6114867925643921,0.5485842227935791,0.6880451440811157
13,0.5405877962290684,0.8833760861997251,0.7347375,0.9407978,0.7658759951591492,0.6386537551879883,0.5321735143661499,0.6724488735198975
14,0.514186275200309,0.8838814673600374,0.7171143,0.9409192,0.7769725322723389,0.63856041431427,0.5176399946212769,0.6741004586219788
15,0.4918404064167326,0.8978298085707205,0.7007765,0.9481589,0.7870190739631653,0.6329770088195801,0.5028640627861023,0.6858603358268738
16,0.48117731330550717,0.8504732427773652,0.6934631,0.9232301,0.7914413213729858,0.6520227193832397,0.49884021282196045,0.6531391143798828
17,0.4639879263171526,0.8446005582809448,0.6811011,0.92015195,0.7988107800483704,0.6543392539024353,0.4895794987678528,0.6464371681213379
18,0.4423100755454224,0.875605618512189,0.6645068,0.936494,0.8084948658943176,0.6419522166252136,0.47556814551353455,0.6669334769248962
19,0.42931156904897955,0.8644323922969677,0.65509593,0.93077433,0.8138806819915771,0.6463124752044678,0.4691593050956726,0.6719827651977539
20,0.41839399425504364,0.8303603419551143,0.64705163,0.91180474,0.8184236288070679,0.6605821847915649,0.4615073800086975,0.6385162472724915
21,0.40277519578410087,0.8253784952340303,0.6349491,0.9096016,0.8251525163650513,0.6622203588485718,0.4515306353569031,0.6377355456352234
22,0.3942937809173192,0.8798341883553399,0.6273185,0.9390882,0.829329788684845,0.6399657726287842,0.4470353126525879,0.6700029969215393
23,0.38187731537863473,0.8325950966940986,0.61846155,0.91347283,0.8341150879859924,0.6593391299247742,0.4405927062034607,0.6381425261497498
24,0.36728935890665676,0.8570538361867269,0.60624963,0.92696023,0.84060138463974,0.6492051482200623,0.42924246191978455,0.6550723910331726
25,0.3570499697299761,0.8444362393131962,0.59719616,0.9198156,0.8453266024589539,0.6545919179916382,0.4237813651561737,0.6321401596069336
26,0.3479352032191285,0.8436180750528971,0.5901732,0.91944444,0.8489431142807007,0.6548705697059631,0.4177854061126709,0.6374621987342834
27,0.3390165030538479,0.8373876434785349,0.5825316,0.9157603,0.8528295755386353,0.6576309204101562,0.4125312864780426,0.6337321400642395
28,0.3298274883739302,0.8019551347803187,0.5742751,0.89678586,0.8569718599319458,0.6716716289520264,0.40543776750564575,0.6212410926818848
29,0.32466216587296154,0.842586479805134,0.5689672,0.9190412,0.8596035242080688,0.6551731824874878,0.40105149149894714,0.6360162496566772
30,0.31344748378914095,0.816725680121669,0.55985427,0.9048569,0.8640649318695068,0.665735125541687,0.39323902130126953,0.622962474822998
31,0.3031625660641171,0.837780632354595,0.55049855,0.91623896,0.8685702085494995,0.6572728157043457,0.3875372111797333,0.6294128894805908
32,0.29808932800437804,0.7966664345176132,0.54607606,0.894291,0.870673418045044,0.673495888710022,0.38439247012138367,0.6206042766571045
33,0.29088022169944283,0.8007870007444311,0.53938526,0.8960546,0.8738231658935547,0.6722067594528198,0.3796584904193878,0.6152721047401428
34,0.28002349349939937,0.8203669587771097,0.52919894,0.9070114,0.8785438537597656,0.6641414165496826,0.3715710937976837,0.6257244348526001
35,0.2838828904188682,0.8140356562755726,0.5328022,0.90407556,0.8768842220306396,0.6663120985031128,0.3734740614891052,0.6213177442550659
36,0.2680484159527538,0.8239550722969903,0.517564,0.9093127,0.8838257789611816,0.6624349355697632,0.36368751525878906,0.6231673955917358
37,0.26333228808557874,0.8186688246550383,0.5135901,0.90621364,0.8856029510498047,0.6647319793701172,0.359003484249115,0.6169796586036682
38,0.2566553620952312,0.8113174107339647,0.506572,0.90203476,0.8887079954147339,0.6678168773651123,0.3543720543384552,0.6145318746566772
39,0.2520183901363444,0.7983901655232465,0.5022781,0.89526814,0.8905867338180542,0.6727819442749023,0.34996384382247925,0.6142915487289429
40,0.24525607276324915,0.8166738417413499,0.49543273,0.9047366,0.8935487270355225,0.6658239364624023,0.34676027297973633,0.6226657032966614
41,0.24444032091403675,0.8183317824646279,0.4940928,0.9056892,0.8941237330436707,0.6651198863983154,0.3445373475551605,0.6150428652763367
42,0.23636966142977509,0.825862710122709,0.4858645,0.9104781,0.8976207375526428,0.6615691184997559,0.33824169635772705,0.6157034039497375
43,0.2341426591449809,0.7933157594115646,0.48350626,0.8915873,0.8986122012138367,0.6754670739173889,0.33769622445106506,0.611724853515625
